position,velocity,acceleration,jerk,time,energy,reward,episode
-61.16624767720698,-0.5412676572799666,-4.7683716e-07,0.0,111.29999999999795,0.0,-0.9535774766875409,1
-61.220374445319166,-0.5412677049636825,-4.7683716e-07,0.0,111.39999999999795,0.0,-0.9535774767903017,1
-61.27450121819972,-0.5412677526473983,-4.7683716e-07,0.0,111.49999999999794,0.0,-0.9535774768930626,1
-61.32862799584864,-0.5412678003311142,-4.7683716e-07,0.0,111.59999999999793,0.0,-0.9535774769958234,1
-61.38275477826594,-0.5412678480148301,-4.7683716e-07,0.0,111.69999999999793,0.0,-0.9535774770985842,1
-61.43688156545161,-0.5412678956985459,-4.7683716e-07,0.0,111.79999999999792,0.0,-0.953577477201345,1
-61.49100835740565,-0.5412679433822618,-4.7683716e-07,0.0,111.89999999999792,0.0,-0.9535774773041059,1
-61.54513515412806,-0.5412679910659777,-4.7683716e-07,0.0,111.99999999999791,0.0,-0.9535774774068667,1
-61.59926195561884,-0.5412680387496935,-4.7683716e-07,0.0,112.0999999999979,0.0,-0.9535774775096275,1
-61.653388761878,-0.5412680864334094,-4.7683716e-07,0.0,112.1999999999979,0.0,-0.9535774776123883,1
-61.70751557290553,-0.5412681341171253,-4.7683716e-07,0.0,112.2999999999979,0.0,-0.9535774777151491,1
-61.761642388701425,-0.5412681818008411,-4.7683716e-07,0.0,112.39999999999789,0.0,-0.9535774778179099,1
-61.815769209265696,-0.541268229484557,-4.7683716e-07,0.0,112.49999999999788,0.0,-0.9535774779206708,1
-61.86989603459834,-0.5412682771682729,-4.7683716e-07,0.0,112.59999999999788,0.0,-0.9535774780234316,1
-61.92402286469935,-0.5412683248519887,-4.7683716e-07,0.0,112.69999999999787,0.0,-0.9535774781261924,1
-61.97814969956874,-0.5412683725357046,-4.7683716e-07,0.0,112.79999999999787,0.0,-0.9535774782289532,1
-62.03227653920649,-0.5412684202194205,-4.7683716e-07,0.0,112.89999999999786,0.0,-0.953577478331714,1
-62.08640338361262,-0.5412684679031363,-4.7683716e-07,0.0,112.99999999999785,0.0,-0.9535774784344748,1
-62.14053023278712,-0.5412685155868522,-4.7683716e-07,0.0,113.09999999999785,0.0,-0.9535774785372357,1
-62.19465708672999,-0.541268563270568,-4.7683716e-07,0.0,113.19999999999784,0.0,-0.9535774786399965,1
-62.24878394544123,-0.5412686109542839,-4.7683716e-07,0.0,113.29999999999784,0.0,-0.9535774787427573,1
-62.30291080892085,-0.5412686586379998,-4.7683716e-07,0.0,113.39999999999783,0.0,-0.9535774788455181,1
-62.35703767716883,-0.5412687063217156,-4.7683716e-07,0.0,113.49999999999783,0.0,-0.9535774789482789,1
-62.41116455018519,-0.5412687540054315,-4.7683716e-07,0.0,113.59999999999782,0.0,-0.9535774790510397,1
-62.46529142618178,-0.5412687659263604,-1.1920929e-07,3.5762786865234375e-06,113.69999999999781,0.0,-0.9535776578906643,1
-62.51941830337046,-0.5412687778472893,-1.1920929e-07,0.0,113.79999999999781,0.0,-0.9535774791024202,1
-62.573545181751236,-0.5412687897682182,-1.1920929e-07,0.0,113.8999999999978,0.0,-0.9535774791281103,1
-62.627672061324105,-0.5412688016891471,-1.1920929e-07,0.0,113.9999999999978,0.0,-0.9535774791538005,1
-62.68179894208907,-0.5412688136100761,-1.1920929e-07,0.0,114.09999999999779,0.0,-0.9535774791794908,1
-62.73592582404612,-0.541268825531005,-1.1920929e-07,0.0,114.19999999999779,0.0,-0.953577479205181,1
-62.790052707195265,-0.5412688374519339,-1.1920929e-07,0.0,114.29999999999778,0.0,-0.9535774792308712,1
