1881,124.22,14.078,22.222,1
1880,124.15,14.128,22.222,1
1879,124.07,14.177,22.222,1
1878,124,14.226,22.222,1
1877,123.93,14.274,22.222,1
1876,123.86,14.322,22.222,1
1875,123.79,14.37,22.222,1
1874,123.73,14.417,22.222,1
1873,123.66,14.463,22.222,1
1872,123.59,14.509,22.222,1
1871,123.52,14.555,22.222,1
1870,123.45,14.6,22.222,1
1869,123.38,14.644,22.222,1
1868,123.31,14.689,22.222,1
1867,123.24,14.732,22.222,1
1866,123.18,14.776,22.222,1
1865,123.11,14.819,22.222,1
1864,123.04,14.861,22.222,1
1863,122.97,14.904,22.222,1
1862,122.91,14.946,22.222,1
1861,122.84,14.987,22.222,1
1860,122.77,15.028,22.222,1
1859,122.71,15.069,22.222,1
1858,122.64,15.109,22.222,1
1857,122.58,15.149,22.222,1
1856,122.51,15.189,22.222,1
1855,122.44,15.229,22.222,1
1854,122.38,15.268,22.222,1
1853,122.31,15.307,22.222,1
1852,122.25,15.345,22.222,1
1851,122.18,15.383,22.222,1
1850,122.12,15.421,22.222,1
1849,122.05,15.459,22.222,1
1848,121.99,15.496,22.222,1
1847,121.92,15.533,22.222,1
1846,121.86,15.57,22.222,1
1845,121.8,15.606,22.222,1
1844,121.73,15.643,22.222,1
1843,121.67,15.678,22.222,1
1842,121.6,15.714,22.222,1
1841,121.54,15.749,22.222,1
1840,121.48,15.785,22.222,1
